,count,mean,std,min,25%,50%,75%,max
feature4426,400.0,0.09399038060249999,0.0444175216583116,0.0,0.0917506725,0.106877985,0.11765150499999999,0.1950162
feature4427,400.0,0.054751832956249996,0.03208295012304427,0.0,0.038929193749999993,0.06387137300000001,0.0752275455,0.151657
feature4428,400.0,0.05417568607125,0.030214843510158067,0.0,0.04196509725,0.065434882,0.07411783125,0.15889952
feature4429,400.0,0.06502421792925,0.04133044486658174,0.0,0.0383980215,0.07265725,0.0927433525,0.20489104
feature4430,400.0,0.06312128678625001,0.03750778685072832,0.0,0.044149085500000004,0.07269007,0.087051746,0.16949153
feature4431,400.0,0.06572344439625001,0.036580323849544516,0.0,0.0509422265,0.07632933,0.087994058,0.20515712
feature4432,400.0,0.09526329905250001,0.04411488959653991,0.0,0.093480915,0.1080954475,0.1178715485,0.22772835
feature4433,400.0,0.15872283985000002,0.07462239280143823,0.0,0.15382942,0.17512983,0.19586311,0.34757626
feature4434,400.0,0.09562850664750001,0.04464773603004318,0.0,0.09260537375,0.110190178,0.1212392025,0.23303643
feature4435,400.0,0.06332635184625002,0.03785008150504924,0.0,0.036126961250000006,0.07411669,0.08773244,0.1834047
feature4436,400.0,0.060187577042499996,0.036684886065756456,0.0,0.033787474,0.069885597,0.0848617725,0.19337048
feature4437,400.0,0.06096848548000001,0.03692055505632534,0.0,0.038459444999999995,0.07147666,0.086940884,0.15435019
feature4438,400.0,0.05247598938,0.029120046822212663,0.0,0.0349309075,0.06268483,0.07301764349999999,0.11566795
feature4439,400.0,0.0565973551625,0.030313642816599495,0.0,0.045738878000000004,0.065490885,0.07511259125,0.16334534
feature4440,400.0,0.09363893218250001,0.04330783755223004,0.0,0.09237465750000001,0.104826005,0.117860068,0.18794963
feature4441,400.0,0.09787335434500001,0.04848348119810997,0.0,0.08863437925,0.10802167,0.12235877,0.2457336
feature4442,400.0,0.0703731024725,0.03704594877261709,0.0,0.05946099325,0.08377968499999999,0.093911067,0.1950162
feature4443,400.0,0.055812258247499996,0.034837788256099955,0.0,0.023212503750000002,0.0673953025,0.0828138525,0.11568677
feature4444,400.0,0.0557201802975,0.036608110323406426,0.0,0.02049311275,0.06766773000000001,0.0851326625,0.13345776
feature4445,400.0,0.06036006890325,0.04133700267236629,0.0,0.019728134249999998,0.068377622,0.091364415,0.243402
feature4446,400.0,0.048775452265000005,0.03192443317356389,0.0,0.0184895475,0.058881718,0.0759742905,0.11658929
feature4447,400.0,0.04786002475625001,0.028217634174922894,0.0,0.028492744,0.056773534,0.0697728645,0.10818097
feature4448,400.0,0.0644562135325,0.03309276714414155,0.0,0.051846326,0.075443555,0.0846781655,0.18428853
feature4449,400.0,0.083988823145,0.045685984828549075,0.0,0.076385785,0.08985114999999999,0.10416621125,0.22772835
feature4450,400.0,0.0560318404175,0.03195285133296196,0.0,0.0374255915,0.06636475,0.0753809225,0.18054992
feature4451,400.0,0.0417100206975,0.026086044335179952,0.0,0.019415525,0.0507887685,0.0618012555,0.10208661
feature4452,400.0,0.043292020935,0.027120461025491833,0.0,0.0192508045,0.0526841,0.06289162200000001,0.12944052
feature4453,400.0,0.05629518809125,0.03879310461970371,0.0,0.017105108,0.06416415,0.08259482125,0.19571625
feature4454,400.0,0.054183733283749994,0.03303347347460052,0.0,0.0297624735,0.06680530500000001,0.07907173875,0.12558554
feature4455,400.0,0.058032691098,0.03507399301311409,0.0,0.035345997500000004,0.069359921,0.08358416299999999,0.19177695
feature4456,400.0,0.06688858335,0.035173550745034476,0.0,0.0534513405,0.07682376199999999,0.08868159875,0.17937297
feature4457,400.0,0.12707800866750002,0.06510793131355733,0.0,0.1135107125,0.13401983,0.1646995225,0.3525301
feature4458,400.0,0.0782053445625,0.03902172667190572,0.0,0.0709276825,0.089844915,0.099398375,0.20959637
feature4459,400.0,0.049152776006500004,0.029151870122680976,0.0,0.028479299,0.0587494385,0.0716212145,0.1171432
feature4460,400.0,0.04376391129624999,0.026930643987603885,0.0,0.02298871675,0.051602822000000007,0.06400985125,0.11941629
feature4461,400.0,0.05100568859,0.0345854194832141,0.0,0.021321087,0.0600059685,0.07341683,0.19355482
feature4462,400.0,0.051009102040749994,0.030972273501862557,0.0,0.028973797500000002,0.060733877,0.0749021325,0.1290809
feature4463,400.0,0.061351599802500004,0.035042409310041954,0.0,0.042139078249999996,0.07164964800000001,0.0854039075,0.18411492
feature4464,400.0,0.08908660249,0.04320136582907396,0.0,0.08677793875,0.101479053,0.1121231195,0.22303073
feature4465,400.0,0.12686441445,0.06307148331828241,0.0,0.113825408,0.13782677999999998,0.1599344025,0.29897404
feature4466,400.0,0.0868124299075,0.043250396209674205,0.0,0.08049548000000001,0.10034672,0.111377925,0.22808577
